Accuracy: 95.16%
Test #18
Target: 3
Output: 8
Test #33
Target: 4
Output: 2
Test #61
Target: 8
Output: 2
Test #64
Target: 7
Output: 3
Test #149
Target: 2
Output: 4
Test #167
Target: 5
Output: 9
Test #241
Target: 9
Output: 3
Test #244
Target: 2
Output: 7
Test #247
Target: 4
Output: 6
Test #320
Target: 9
Output: 8
Test #340
Target: 5
Output: 3
Test #341
Target: 6
Output: 1
Test #389
Target: 9
Output: 7
Test #412
Target: 5
Output: 3
Test #435
Target: 8
Output: 9
Test #445
Target: 6
Output: 0
Test #448
Target: 9
Output: 8
Test #479
Target: 9
Output: 3
Test #495
Target: 8
Output: 0
Test #543
Target: 8
Output: 1
Test #565
Target: 4
Output: 9
Test #582
Target: 8
Output: 2
Test #583
Target: 2
Output: 7
Test #610
Target: 4
Output: 1
Test #613
Target: 2
Output: 8
Test #625
Target: 6
Output: 0
Test #658
Target: 7
Output: 4
Test #659
Target: 2
Output: 0
Test #667
Target: 7
Output: 3
Test #674
Target: 5
Output: 3
Test #689
Target: 7
Output: 9
Test #691
Target: 8
Output: 9
Test #696
Target: 1
Output: 0
Test #710
Target: 5
Output: 3
Test #726
Target: 7
Output: 4
Test #795
Target: 3
Output: 5
Test #810
Target: 7
Output: 3
Test #829
Target: 4
Output: 8
Test #866
Target: 5
Output: 8
Test #881
Target: 4
Output: 9
Test #947
Target: 8
Output: 9
Test #956
Target: 1
Output: 6
Test #959
Target: 4
Output: 9
Test #965
Target: 6
Output: 8
Test #1014
Target: 6
Output: 5
Test #1032
Target: 5
Output: 8
Test #1039
Target: 7
Output: 1
Test #1055
Target: 7
Output: 9
Test #1093
Target: 8
Output: 2
Test #1107
Target: 9
Output: 3
Test #1112
Target: 4
Output: 6
Test #1114
Target: 3
Output: 8
Test #1124
Target: 8
Output: 7
Test #1128
Target: 3
Output: 7
Test #1138
Target: 2
Output: 3
Test #1152
Target: 9
Output: 7
Test #1191
Target: 0
Output: 9
Test #1192
Target: 9
Output: 4
Test #1224
Target: 2
Output: 6
Test #1226
Target: 7
Output: 2
Test #1232
Target: 9
Output: 4
Test #1242
Target: 4
Output: 9
Test #1247
Target: 9
Output: 3
Test #1270
Target: 4
Output: 9
Test #1279
Target: 4
Output: 9
Test #1290
Target: 3
Output: 5
Test #1299
Target: 5
Output: 3
Test #1319
Target: 8
Output: 3
Test #1326
Target: 7
Output: 1
Test #1355
Target: 7
Output: 4
Test #1364
Target: 8
Output: 0
Test #1413
Target: 4
Output: 9
Test #1433
Target: 8
Output: 1
Test #1458
Target: 6
Output: 0
Test #1466
Target: 5
Output: 3
Test #1470
Target: 8
Output: 3
Test #1527
Target: 1
Output: 5
Test #1530
Target: 8
Output: 7
Test #1549
Target: 4
Output: 6
Test #1553
Target: 9
Output: 3
Test #1559
Target: 9
Output: 7
Test #1581
Target: 7
Output: 9
Test #1601
Target: 3
Output: 7
Test #1607
Target: 3
Output: 1
Test #1621
Target: 0
Output: 6
Test #1681
Target: 3
Output: 7
Test #1686
Target: 8
Output: 1
Test #1696
Target: 2
Output: 4
Test #1709
Target: 9
Output: 8
Test #1732
Target: 9
Output: 8
Test #1737
Target: 5
Output: 2
Test #1740
Target: 8
Output: 0
Test #1751
Target: 4
Output: 1
Test #1754
Target: 7
Output: 2
Test #1790
Target: 2
Output: 7
Test #1838
Target: 1
Output: 2
Test #1850
Target: 8
Output: 7
Test #1868
Target: 1
Output: 4
Test #1878
Target: 8
Output: 2
Test #1901
Target: 9
Output: 4
Test #1938
Target: 4
Output: 6
Test #1941
Target: 7
Output: 3
Test #1952
Target: 9
Output: 8
Test #1965
Target: 2
Output: 3
Test #1981
Target: 6
Output: 4
Test #1982
Target: 6
Output: 5
Test #1984
Target: 2
Output: 0
Test #2016
Target: 7
Output: 2
Test #2044
Target: 2
Output: 7
Test #2053
Target: 4
Output: 9
Test #2070
Target: 7
Output: 9
Test #2098
Target: 2
Output: 0
Test #2109
Target: 3
Output: 7
Test #2118
Target: 6
Output: 0
Test #2129
Target: 9
Output: 3
Test #2145
Target: 4
Output: 6
Test #2168
Target: 8
Output: 2
Test #2182
Target: 1
Output: 2
Test #2185
Target: 0
Output: 8
Test #2189
Target: 9
Output: 7
Test #2224
Target: 5
Output: 8
Test #2266
Target: 1
Output: 5
Test #2272
Target: 8
Output: 0
Test #2291
Target: 5
Output: 2
Test #2293
Target: 9
Output: 2
Test #2309
Target: 8
Output: 5
Test #2325
Target: 7
Output: 3
Test #2358
Target: 1
Output: 3
Test #2369
Target: 5
Output: 9
Test #2380
Target: 9
Output: 2
Test #2387
Target: 9
Output: 1
Test #2396
Target: 2
Output: 6
Test #2404
Target: 4
Output: 2
Test #2422
Target: 6
Output: 4
Test #2447
Target: 4
Output: 9
Test #2450
Target: 3
Output: 5
Test #2454
Target: 6
Output: 5
Test #2462
Target: 2
Output: 0
Test #2488
Target: 2
Output: 6
Test #2523
Target: 7
Output: 1
Test #2534
Target: 3
Output: 5
Test #2559
Target: 5
Output: 3
Test #2560
Target: 3
Output: 2
Test #2574
Target: 5
Output: 0
Test #2597
Target: 5
Output: 3
Test #2598
Target: 8
Output: 2
Test #2607
Target: 7
Output: 9
Test #2631
Target: 0
Output: 6
Test #2648
Target: 9
Output: 5
Test #2684
Target: 3
Output: 7
Test #2705
Target: 1
Output: 8
Test #2713
Target: 0
Output: 8
Test #2730
Target: 7
Output: 4
Test #2735
Target: 9
Output: 7
Test #2743
Target: 5
Output: 8
Test #2760
Target: 9
Output: 4
Test #2778
Target: 4
Output: 2
Test #2810
Target: 5
Output: 3
Test #2823
Target: 7
Output: 4
Test #2877
Target: 4
Output: 9
Test #2885
Target: 1
Output: 9
Test #2927
Target: 3
Output: 2
Test #2930
Target: 5
Output: 7
Test #2945
Target: 3
Output: 7
Test #2970
Target: 5
Output: 3
Test #2993
Target: 7
Output: 2
Test #3005
Target: 9
Output: 1
Test #3030
Target: 6
Output: 1
Test #3059
Target: 7
Output: 4
Test #3060
Target: 9
Output: 1
Test #3065
Target: 8
Output: 5
Test #3073
Target: 1
Output: 2
Test #3100
Target: 5
Output: 3
Test #3115
Target: 5
Output: 9
Test #3117
Target: 5
Output: 9
Test #3132
Target: 1
Output: 2
Test #3157
Target: 5
Output: 3
Test #3164
Target: 6
Output: 2
Test #3166
Target: 7
Output: 9
Test #3171
Target: 5
Output: 3
Test #3185
Target: 0
Output: 2
Test #3261
Target: 3
Output: 7
Test #3333
Target: 7
Output: 8
Test #3358
Target: 0
Output: 8
Test #3392
Target: 9
Output: 5
Test #3405
Target: 4
Output: 9
Test #3450
Target: 0
Output: 8
Test #3490
Target: 4
Output: 9
Test #3503
Target: 9
Output: 1
Test #3504
Target: 9
Output: 7
Test #3520
Target: 6
Output: 0
Test #3550
Target: 6
Output: 5
Test #3558
Target: 5
Output: 0
Test #3565
Target: 5
Output: 8
Test #3597
Target: 9
Output: 3
Test #3599
Target: 2
Output: 3
Test #3601
Target: 1
Output: 6
Test #3604
Target: 7
Output: 0
Test #3674
Target: 8
Output: 5
Test #3702
Target: 5
Output: 1
Test #3716
Target: 9
Output: 3
Test #3718
Target: 4
Output: 9
Test #3724
Target: 0
Output: 8
Test #3746
Target: 3
Output: 7
Test #3749
Target: 6
Output: 4
Test #3751
Target: 7
Output: 1
Test #3757
Target: 8
Output: 3
Test #3767
Target: 7
Output: 3
Test #3776
Target: 5
Output: 8
Test #3778
Target: 5
Output: 1
Test #3780
Target: 4
Output: 2
Test #3796
Target: 2
Output: 8
Test #3808
Target: 7
Output: 8
Test #3811
Target: 2
Output: 3
Test #3817
Target: 2
Output: 4
Test #3818
Target: 0
Output: 4
Test #3823
Target: 2
Output: 0
Test #3834
Target: 3
Output: 8
Test #3846
Target: 6
Output: 0
Test #3853
Target: 6
Output: 5
Test #3855
Target: 5
Output: 0
Test #3856
Target: 9
Output: 7
Test #3869
Target: 9
Output: 4
Test #3893
Target: 5
Output: 6
Test #3902
Target: 5
Output: 3
Test #3906
Target: 1
Output: 2
Test #3926
Target: 9
Output: 3
Test #3941
Target: 4
Output: 6
Test #3946
Target: 2
Output: 8
Test #3962
Target: 3
Output: 8
Test #4013
Target: 1
Output: 3
Test #4017
Target: 4
